"DATA_GERACAO";"HORA_GERACAO";"ANO_ELEICAO";"NUM_TURNO";"DESCRICAO_ELEICAO";"SIGLA_UF";"SIGLA_UE";"CODIGO_MUNICIPIO";"NOME_MUNICIPIO";"NUMERO_ZONA";"CODIGO_CARGO";"DESCRICAO_CARGO";"QTD_APTOS";"QTD_SECOES";"QTD_SECOES_AGREGADAS";"QTD_APTOS_TOT";"QTD_SECOES_TOT";"QTD_COMPARECIMENTO";"QTD_ABSTENCOES";"QTD_VOTOS_NOMINAIS";"QTD_VOTOS_BRANCOS";"QTD_VOTOS_NULOS";"QTD_VOTOS_LEGENDA";"QTD_VOTOS_ANULADOS_APU_SEP";"DATA_ULT_TOTALIZACAO";"HORA_ULT_TOTALIZACAO";"TRANSITO";"QTD_VOTOS_ANULADOS"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"390";"11";"PREFEITO";"115275";"334";"0";"115275";"334";"91552";"23723";"74486";"4894";"12172";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"251";"13";"VEREADOR";"117041";"315";"0";"117041";"315";"86713";"30328";"63921";"4439";"6097";"12256";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"251";"11";"PREFEITO";"117041";"315";"0";"117041";"315";"86713";"30328";"80023";"1904";"4786";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"280";"13";"VEREADOR";"171500";"467";"0";"171500";"467";"136837";"34663";"91582";"11511";"18441";"15303";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"280";"11";"PREFEITO";"171500";"467";"0";"171500";"467";"136837";"34663";"113979";"7195";"15663";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"326";"13";"VEREADOR";"110042";"307";"0";"110042";"307";"87382";"22660";"56022";"8838";"12374";"10148";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"326";"11";"PREFEITO";"110042";"307";"0";"110042";"307";"87382";"22660";"70582";"5471";"11329";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"348";"13";"VEREADOR";"104505";"285";"0";"104505";"285";"82679";"21826";"52016";"7046";"12143";"11474";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"348";"11";"PREFEITO";"104505";"285";"0";"104505";"285";"82679";"21826";"69150";"3631";"9898";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"403";"13";"VEREADOR";"95051";"277";"5";"95051";"277";"76993";"18058";"49591";"8601";"10405";"8396";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"403";"11";"PREFEITO";"95051";"277";"5";"95051";"277";"76993";"18058";"62075";"5031";"9887";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"405";"13";"VEREADOR";"103182";"282";"0";"103182";"282";"83031";"20151";"50760";"9042";"13321";"9908";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"405";"11";"PREFEITO";"103182";"282";"0";"103182";"282";"83031";"20151";"65139";"5412";"12480";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"418";"13";"VEREADOR";"176283";"467";"0";"176283";"467";"138619";"37664";"86264";"15853";"18993";"17509";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"418";"11";"PREFEITO";"176283";"467";"0";"176283";"467";"138619";"37664";"112767";"9080";"16772";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"253";"13";"VEREADOR";"219061";"666";"0";"219061";"666";"171495";"47566";"111266";"13132";"23178";"23919";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"253";"11";"PREFEITO";"219061";"666";"0";"219061";"666";"171495";"47566";"146527";"6379";"18589";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"256";"13";"VEREADOR";"174436";"461";"0";"174436";"461";"134945";"39491";"85083";"12639";"19093";"18130";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"256";"11";"PREFEITO";"174436";"461";"0";"174436";"461";"134945";"39491";"112789";"6659";"15497";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"258";"13";"VEREADOR";"190771";"544";"0";"190771";"544";"141719";"49052";"97405";"8819";"12373";"23122";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"258";"11";"PREFEITO";"190771";"544";"0";"190771";"544";"141719";"49052";"130216";"3205";"8298";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"260";"11";"PREFEITO";"181472";"498";"1";"181472";"498";"139635";"41837";"118955";"6012";"14668";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"260";"13";"VEREADOR";"181472";"498";"1";"181472";"498";"139635";"41837";"90293";"12033";"18110";"19199";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"246";"11";"PREFEITO";"119008";"336";"0";"119008";"336";"89470";"29538";"80240";"2591";"6639";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"246";"13";"VEREADOR";"119008";"336";"0";"119008";"336";"89470";"29538";"61360";"5859";"8672";"13579";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"250";"11";"PREFEITO";"166865";"455";"0";"166865";"455";"127765";"39100";"111661";"4406";"11698";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"250";"13";"VEREADOR";"166865";"455";"0";"166865";"455";"127765";"39100";"85870";"9212";"14529";"18154";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"320";"13";"VEREADOR";"183580";"499";"0";"183580";"499";"141813";"41767";"85349";"15409";"20863";"20192";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"320";"11";"PREFEITO";"183580";"499";"0";"183580";"499";"141813";"41767";"118614";"7878";"15321";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"325";"13";"VEREADOR";"102298";"293";"1";"102298";"293";"78962";"23336";"52232";"6605";"10572";"9553";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"325";"11";"PREFEITO";"102298";"293";"1";"102298";"293";"78962";"23336";"65460";"3823";"9679";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"346";"13";"VEREADOR";"135630";"353";"1";"135630";"353";"104089";"31541";"69446";"8823";"10087";"15733";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"346";"11";"PREFEITO";"135630";"353";"1";"135630";"353";"104089";"31541";"92113";"3992";"7984";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"351";"13";"VEREADOR";"133860";"357";"0";"133860";"357";"103404";"30456";"63200";"11790";"13711";"14703";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"351";"11";"PREFEITO";"133860";"357";"0";"133860";"357";"103404";"30456";"85419";"6391";"11594";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"352";"13";"VEREADOR";"200999";"590";"1";"200999";"590";"161569";"39430";"100337";"19137";"23054";"19041";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"352";"11";"PREFEITO";"200999";"590";"1";"200999";"590";"161569";"39430";"127722";"12005";"21842";"0";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"404";"13";"VEREADOR";"172095";"479";"1";"172095";"479";"141050";"31045";"89360";"16400";"19437";"15853";"0";"02/10/2016";"21:53:43";"N";"0"
"20/10/2016";"19:41:50";"2016";"1";"ELEIÇÕES MUNICIPAIS 2016";"SP";"71072";"71072";"SÃO PAULO";"404";"11";"PREFEITO";"172095";"479";"1";"172095";"479";"141050";"31045";"112763";"9847";"18440";"0";"0";"02/10/2016";"21:53:43";"N";"0"
